Source	Target
千里寻	Qianli Xun
二杠	Er'gang
悠悠编辑	Editor Youyou
曹雪芹	Cao Xueqin
《红楼梦》	Dream of the Red Chamber
老娘	Yours truly / This queen / I (emphasized); Yours truly / This queen
家人们	Fam / Chat / Guys
---	-------------------------------
网暴	Cyberbullying / Online hate mob / Cancel culture
网文	Web novel / Web fiction
网文界	Web novel scene / Web novel community
水文字	Padding the word count / Fluff
口水文	Drivel / Vapid writing
爽文	Power fantasy / Wish-fulfillment fiction
小白文	Shallow fiction / Fast-food fiction / Brainless read
粉丝群	Fan group (chat)
文以载道	convey the Way
四大名著	the Four Great Classical Novels
绿色的通话键	green call button
创作生涯	creative career
申简辰	Shen Jianchen
师父	Master / Shifu
徒弟	Disciple
千里拳庄	Qianli Fist Manor
申拳	Shen Fist (School)
千里拳	Qianli Fist
快拳	Quick Fist / Rapid Strikes
拆拳术	Counter-grapple technique
闪避	Evasion / Dodge
切磋	Spar
比试	Match
对决/决一死战	Duel / Duel to the death
千年神柳	Millennial Divine Willow
帷帽	Veiled hat
拳服	Martial arts uniform
肠粉	Steamed rice roll
豆浆	Soy milk
豆腐脑	Tofu pudding
"月上柳梢头，人约黄昏后"	"The moon above a willow tree / Shone on my lover close to me."
"除非猪能上树"	"When pigs fly" / "When pigs can climb trees"
"打着灯笼都难找"	Hard to find even with a lantern
朱淑真	Zhu Shuzhen
苦荞	Kuqiao
林觉	Lin Jue
春金巧	Chun Jinqiao
朱府老爷	Father Zhu / Lord Zhu
小姐	Miss
姑爷	Master Lin / the lord / Son-in-law
练兵官	Military Training Officer
临安知府	Prefect of Lin'an
春香楼	Chunxiang Pavilion
青楼（泛指）	Qinglou
商妓	Merchant Courtesan
宣和四年	The 4th Year of Xuanhe
朱府	Zhu Manor; Zhu residence; the Zhu residence
林府	Lin Manor
不守夫道	Unfaithful / Violating the husband's way
词坛双璧	Twin Jewels of Ci Poetry
嫁出去的女儿泼出去的水	"A married daughter is like water poured out."
老娘（千里寻自称）	Yours truly / This queen/ I (emphasized)
正室	the first wife / the legitimate wife
小吏	petty official / minor clerk
练家子	Trained fighter / Martial artist
竹兰居	Zhulan Residence / Bamboo and Orchid Court
小鸡双色莲子羹	Two-Color Lotus Seed Chicken Soup
野菜包子	Wild Vegetable Steamed Buns
圆房	Consummate the marriage
老姑娘	an old maid
重生	Rebirth / Resurgence
休书 / 休了我	Letter of Divorce / cast out / repudiate
青梅竹马，两小无猜	innocently devoted childhood sweethearts
衙门 / 官府	local yamen
朱晞颜	Zhu Xiyan
岳父大人	father-in-law
林子孝	Lin Zixiao
母夜叉	a vicious shrew
女词人	female ci poet
赏花钓鱼宴	Flower-Viewing and Fishing Banquet
点茶	Whisked tea / the art of tea whisking
《眼儿媚》	Yan Er Mei: Fascinating Eyes
附庸风雅	affecting literary airs
茅房	privy
和离	a mutual divorce
财产分割	execute the division of property
压手印	affixing our thumbprints
媒婆 / 媒人	a matchmaker
巳时	Si Hour (9:00 AM - 11:00 AM)
品行不端	moral misconduct
娘家蒙羞	shaming the paternal family
辱没门楣	tarnishing the family reputation
未出阁	unmarried (of daughters)
清誉	reputation / honor
势均力敌	evenly matched / on equal footing
约法三章	Three-Point Agreement
幺蛾子	trickery / dirty tricks
冷暴力	silent treatment / cold violence
井水不犯河水	mind one's own business / each to their own
嘚啵嘚啵	chitter-chatter / ramble on
洗耳恭听	I'm all ears
茶筅	tea whisk
茶盏	tea bowl
紫砂壶	purple clay teapot
击拂	to whisk
茶汤	tea liquor
乳雾汹涌	creamy foam rises
茶粉	tea powder
石臼	stone mortar
石杵	stone pestle
茶碾	tea roller
茶筛	tea sieve
小瓷坛	small porcelain jar
笔墨纸砚	brush, ink, paper, and inkstone
软笔书法	calligraphy with a soft brush
正门	main gate
侧门	side gate
东京汴梁	Dongjing Bianliang / the Eastern Capital
回门	return visit to maiden home
《浣溪沙·春夜》	"Huanxisha · Spring Night"
魏夫人/魏玩	Lady Wei / Wei Wan
大公子	the eldest son
少夫人	the young mistress
以诗会友	make friends through poetry
向夫人	Madam Xiang
银杏	Yinxing
江南女词人	The Poetess of Jiangnan
府衙	prefectural office
歌伎	songstresses
舞伎	dancers
诗会	poetry banquet (formal); poetry salon (casual literary gathering)
曲径通幽	winding paths leading to secluded spots
菊花	Chrysanthemum
《菊花》	"Chrysanthemum" (Poem)
绿桃	Lutao
林家大爷	Eldest Master Lin
林家二爷	Second Master Lin
长命百岁金锁	Longevity Gold Lock
朱景元	Zhu Jingyuan
陈文心	Chen Wenxin
