Source	Target
净光法师	Master Jingguang
慈空	Cikong
蝴蝶	butterfly
苦修	ascetic practice / bitter cultivation
神识	divine consciousness
太上感应篇	Taishang Ganying Pian (Treatise on the Response of the Tao)
五戒十善	Five Precepts and Ten Virtues
命格	fate chart / destiny chart
情路	path of love / romantic path
天机	heavenly secret / divine mystery
醍醐灌顶	enlightenment / profound awakening
红绸	red silk
千年神柳	Millennial Divine Willow
石炕	stone bed
褥子	cushion / mattress
油灯	oil lamp
火折子	fire starter
蒲团	prayer cushion
正思正念	righteous thoughts and intentions
福祸无门，惟人自召	Fortune and misfortune have no door; they are summoned by people themselves
明心见性	see one's true nature and enlighten the mind
